"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Reinforcement Learning for Multi-Robot Coordination and Cooperation in Manufacturing","S. Konduri; S. Walke; A. Kumar; P. G; A. Bhagirath Jadhav; N. L","BITS Pilani, Hyderabad, Telangana, India; Department of Computer Engineering, Pillai college of Engineering and Technology, Mumbai University, India; Dadi Institute of Engineering and Technology, Anakapalle; Department of Electronics & Communication Engineering, Dayananda Sagar College of Engineering, Bangalore, Karnataka; Department of Mechanical Engineering, Electronics and Communication Engineering, SMT. KashibaiNavale College of Engineering, Maharashtra; Department of Mechanical Engineering, Saveetha School of Engineering, SIMATS, Chennai, Tamil Nadu, India","2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)","26 Feb 2024","2023","10","","1656","1661","The introduction of robotic technologies has dramatically altered the automation of production operations. The full benefits of these systems, including increased production and efficiency, can be attained only via the coordinated efforts of several robots. Higher throughput, reduced production costs, and better overall performance can only be achieved through multi-robot coordination and collaboration in industrial environments. One potential method that aims to meet these obstacles is known as Reinforcement Learning (RL). To this end, we provide a Hierarchical Reinforcement Learning (HRL) system for improving collaboration amongst several robots during production. To do this, the HRL framework that we propose makes use of a hierarchical structure to break down the issue into many levels of abstraction, each of which is accountable for a distinct part of the robotic job. A meta-controller is a higher-level controller that learns how to divide up work across robots to increase output. The meta-controller makes choices depending on data it collects about the production facility and the robots themselves. The meta-controller provides a framework within which the lower-level robot controllers can function. Actions, such as motion, manipulation, and cooperation with other robots, are determined by these controllers using RL algorithms. Adapting to the ever-changing conditions of their surroundings, the lower-level controllers are in charge of fine-grained control. The capacity for learning from experience is an asset to our approach. The meta-controller, along with the lower-level controllers, improves its decision-making and coordinating capabilities through its interactions with the manufacturing environment. This flexibility is fundamental for dealing with the ambiguity and complexity of actual production processes. Additionally, our HRL paradigm recognises the value of human-robot interaction and dialogue. Robust communication protocols are built so that robots may efficiently communicate data, gain insights about their surroundings, and work together. By working together, we can reduce competition for scarce resources, improve efficiency in job allocation, and boost the system's output as a whole.We tested our HRL framework in both a virtual factory and a real-world industrial one to ensure its efficacy. The outcomes show that our method drastically enhances multi-robot coordination and collaboration, which in turn shortens the production time, reduces the mistake rate, and boosts the throughput. Our architecture also demonstrates flexibility in meeting emerging needs and recovering quickly from setbacks.In conclusion, Hierarchical Reinforcement Learning provides a potent answer for enhancing robots' ability to work together in multi-robot industrial situations. Our approach improves efficiency, cuts costs, and prepares the door for more flexible production methods by breaking down the problem into smaller, more manageable pieces. This study aids the development of factory automation and may significantly alter the way businesses employ robotic systems to boost their efficiency, productivity, and sustainability.","2687-7767","979-8-3503-8247-1","10.1109/UPCON59197.2023.10434651","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434651","Reinforcement Learning;Multi-Robot Coordination;Cooperation;Manufacturing;Hierarchical Reinforcement Learning;etc","Costs;Service robots;Robot kinematics;Collaboration;Production;Reinforcement learning;Manufacturing","","22","","32","IEEE","26 Feb 2024","1-3 Dec. 2023","1-3 Dec. 2023","IEEE","IEEE Conferences"
"Dynamic Multi-Robot Path Planning: A Comparative Perspective","S. Sameena; G. Nallasivan","Department of CSE, School of Computing, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, Tamil Nadu, India; Department of CSE, School of Computing, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, Tamil Nadu, India",2025 4th International Conference on Innovative Mechanisms for Industry Applications (ICIMIA),"20 Oct 2025","2025","","","105","111","Recent developments in multi-robot and multi-UAV path planning techniques in dynamic and congested environments are compared in this work. Important strategies include MRDWA-MADDPG, which improves local planning through sensor sharing and deep deterministic policy gradients; transformer-based policy networks coupled with imitation reinforcement learning for cooperative control without communication; and decentralized route planning using AMC-TD3, which uses multi-critic networks and social reward functions to safely navigate dense environments. Path planning is made less computationally difficult by hybrid automata models, while other techniques like PONA rank navigation according to task significance. Additional contributions include rCMS, which divides problems to increase scalability, heuristic-based path shortening, and inverse edge disabling for coordinated movement in confined places. A*, Modified A*, Genetic Algorithm, and PSO are examples of complementary assessments of classical and evolutionary algorithms that show trade-offs between path length, smoothness, collision avoidance, and computational efficiency. Genetic Algorithm and Modified A* dependably provide balanced performance. All things considered, these studies show how hybrid and learning-based approaches are becoming more sophisticated and hold promise for merging them to provide multi-robot navigation in real-world situations that is more resilient, scalable, and adaptive.","","979-8-3315-5386-9","10.1109/ICIMIA67127.2025.11200646","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11200646","multi-UAV;AMC-TD3;MRDWA-MADDPG;rCMS;Modified A*","Navigation;Heuristic algorithms;Reinforcement learning;Transformers;Robot sensing systems;Path planning;Safety;Planning;Collision avoidance;Genetic algorithms","","1","","19","IEEE","20 Oct 2025","3-5 Sept. 2025","3-5 Sept. 2025","IEEE","IEEE Conferences"
"An Enhanced Multi-Objective Particle Swarm Optimization for Collaborative Robot","Z. Chen","Nanjing Tech University, Nanjing, China","2026 IEEE 4th International Conference on Control, Electronics and Computer Technology (ICCECT)","23 Jun 2026","2026","","","1082","1087","For the high efficiency and smoothness of collaborative robots, we propose a multi-objective trajectory planning method. Initially, the kinematic model of the collaborative robot is constructed, and the workspace trajectory is transformed into joint space trajectory with inverse kinematics method. Subsequently, seven-order B-spline functions are employed to formulate joint trajectory sequences, guaranteeing the continuity of position, velocity, acceleration, and jerk for each joint. To search the Pareto optimal solutions set of the robot’s time-energy-jerk optimal trajectory, the Enhanced Multi-Objective Particle Swarm Optimization (EMOPSO) algorithm is introduced. Then, the normalized weight function is devised to facilitate the suitable solution. Lastly, the simulation experiment is completed in MATLAB. The experimental results validate the method’s effectiveness in multi-objective optimization and its capacity to generate optimal trajectories for practical requirements. Moreover, it exhibits excellent performance in ensuring the collaborative robot operates efficiently and smoothly.","","979-8-3315-7114-6","10.1109/ICCECT68671.2026.11565298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11565298","collaborative robot;trajectory planning;A-Star Algorithm;single-objective optimization","Equations;Optimization;Joints;Robots;Splines (mathematics);Trajectory;Tagging;Timing;Algorithms;Interpolation","","","","16","IEEE","23 Jun 2026","28-30 April 2026","28-30 April 2026","IEEE","IEEE Conferences"
"Based on Genetic Adaptive Optimized Particle Swarm Fruit Fly Algorithm of RBPF-SLAM for Mobile Robot","Z. Feng; Z. Wenze; Y. Shuai; Z. Languang","The School of Electrical and Control Engineering, Shenyang Jianzhu University, Shenyang, China; The School of Electrical and Control Engineering, Shenyang Jianzhu University, Shenyang, China; The School of Electrical and Control Engineering, Shenyang Jianzhu University, Shenyang, China; The School of Electrical and Control Engineering, Shenyang Jianzhu University, Shenyang, China",2026 38th Chinese Control and Decision Conference (CCDC),"24 Jun 2026","2026","","","7313","7320","In the traditional RBPF-SLAM algorithm, particle degeneracy and lack of particle diversity lead to low localization accuracy and poor map consistency. To address these issues, this paper proposes a fruit fly RBPF-SLAM method based on a genetic adaptive optimized particle swarm. This method regards each fruit fly individual as a particle. It utilizes the olfactory tropism of fruit flies and the particle swarm algorithm to move particles toward high-likelihood regions for iterative optimization. Additionally, it employs a genetic adaptive algorithm to perform classification, crossover, and adaptive mutation operations on the optimized particle swarm, thereby enhancing population diversity. Experimental results demonstrate that compared with the traditional RBPF-SLAM algorithm, the proposed method improves localization accuracy by approximately $\mathbf{5 0 \%}$. Moreover, it can construct a map with higher accuracy using only 50% of the particle count required by the traditional algorithm.","1948-9447","979-8-3315-5070-7","10.1109/CCDC69976.2026.11560080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11560080","RBPF-SLAM;Fruit Fly Optimization Algorithm (FOA);Particle Swarm Optimization (PSO);Genetic Algorithm;Adaptive","Algorithms;Elementary particles;Optimization;Simultaneous localization and mapping;Particle swarm optimization;Printing;Modeling;Accuracy;Timing;Equations","","","","16","IEEE","24 Jun 2026","15-18 May 2026","15-18 May 2026","IEEE","IEEE Conferences"
"Swarm Robotics for Precision Agriculture: Overcoming Coordination Scalability Limits","L. Judijanto; S. Nurhayati","IPOSS, Jakarta, Indonesia; Community Education IKIP Siliwangi, Cimahi, Indonesia",2025 International Congress on Smart Agriculture and Sustainable Systems (SmartAgri&SuSY),"15 Apr 2026","2025","","","1","6","The rapid evolution of precision agriculture demands innovative approaches to enhance productivity, efficiency, and environmental sustainability. Among these, swarm robotics emerges as a promising paradigm, offering decentralized coordination, fault tolerance, and adaptability for large-scale farming operations. However, significant coordination and scalability limitations continue to hinder its real-world deployment, particularly in heterogeneous and dynamic agricultural environments. This study aims to systematically explore existing strategies to overcome coordination and scalability challenges in swarm robotics for precision agriculture. A Systematic Literature Review (SLR) was conducted using the PRISMA protocol, focusing on peerreviewed articles published between 2021 and 2025. The research employed a qualitative meta-synthesis approach to extract themes, models, and performance outcomes across multiple studies. Data were sourced exclusively from the ScienceDirect database, covering peer-reviewed articles published between 2021 and 2025. The search process involved keyword combinations such as “swarm robotics,” “coordination,” “scalability,” and “precision agriculture.” After screening and eligibility checks, 36 articles were selected based on open-access availability and methodological clarity. Thematic analysis was applied to extract coordination strategies, simulation validations, energy management approaches, and integration patterns. Findings indicate that hierarchical coordination models, biologically inspired algorithms (e.g., ACO, PSO), and hybrid communication protocols are the most effective in addressing scalability.","","979-8-3315-7801-5","10.1109/SmartAgriSuSY68475.2025.11466769","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11466769","swarm robotics;precision agriculture;coordination models;scalability","Payloads;Broadcasting;Broadcast technology;Filtering;Feedback;Filters;Circuits;Internet of Things;Protocols;Communication systems","","","","34","IEEE","15 Apr 2026","5-9 Dec. 2025","5-9 Dec. 2025","IEEE","IEEE Conferences"
"Evolutionary Swarm Robotics: A Methodological Approach For Task and Path Planning","A. Ayari; S. Bouamama","ENSI, LARIA, University of Manouba, Tunisia; Higher Colleges of Technology, DMC, Dubai, UAE",2023 IEEE Afro-Mediterranean Conference on Artificial Intelligence (AMCAI),"19 Feb 2024","2023","","","1","6","The use of robots is increasing in a variety of industries, and it is expected that their presence will become as prevalent as computer technology in the coming years to improve our daily lives. The focus of this research is on coordinating the movements and tasks of multiple robots in different environments with obstacles. To achieve this, a new algorithm called Dynamic Distributed Double Guided Particle Swarm Optimization (D3GPSO) was proposed to group and assign robots’ tasks and to find collision-free paths for each robot in the environment. The effectiveness of this algorithm was demonstrated through experiments and the results were found to be significant.","","979-8-3503-9468-9","10.1109/AMCAI59331.2023.10431514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10431514","Multiple Robot Systems;path planning;task planning;Swarm Intelligence","Service robots;Robot kinematics;Heuristic algorithms;Path planning;Resource management;Task analysis;Collision avoidance","","2","","11","IEEE","19 Feb 2024","13-15 Dec. 2023","13-15 Dec. 2023","IEEE","IEEE Conferences"
"A Direction for Swarm Robotic Path Planning Technique Using Potential Field Concepts and Particle Swarm Optimization","M. Baziyad; N. AbuJabal; R. Fareh; T. Rabie; I. Kamel; M. Bettayeb","Research Inst. of Sci. & Eng. (RISE), University of Sharjah, Sharjah, UAE; Research Inst. of Sci. & Eng. (RISE), University of Sharjah, Sharjah, UAE; 1Electrical Eng. Department, University of Sharjah, Sharjah, UAE; Computer Eng. Department, University of Sharjah, Sharjah, UAE; Computer Eng. Department, University of Sharjah, Sharjah, UAE; Electrical Eng. Department / CEIES, University of Sharjah / King Abdulaziz University, Sharjah, UAE / Jeddah, KSA",2023 15th International Conference on Innovations in Information Technology (IIT),"25 Dec 2023","2023","","","7","12","Swarm robotics has emerged as a prominent research field in recent years. Managing a group of small robots with limited capabilities to achieve their goals poses a significant challenge for developers. Path planning, a crucial process for robotic systems, is essential for ensuring that all robots can reach their destinations while avoiding obstacles. However, path planning techniques commonly face a trade-off between speed and path quality. Achieving higher path quality often demands more iterations to find shorter and smoother paths, consequently increasing the processing time. This trade-off becomes even more intricate in multi-robot systems, where an escalation in the number of robots naturally amplifies the number of processes. This can lead to system failures due to the constrained processing capabilities of such systems. This paper presents a novel path planning approach for swarm robotic systems. The proposed system aims to effectively address the trade-off dilemma by integrating two techniques recognized for their swift execution: the potential field method and Particle Swarm Optimization (PSO). The potential field, generated using a unique objective function modeling method, enables robots to navigate toward the goal while avoiding obstacles. The objective function is composed using two terms, the Euclidean and the Gaussian term. The Euclidean term is responsible for finding the shortest path possible to the goal point while the Gaussian term is responsible for assisting the robot to avoid the obstacles. This objective function is later optimized using PSO algorithm. Simulation results involving three follower robots and a leader robot demonstrate the superior performance of the proposed technique compared to the widely used Probabilistic RoadMap (PRM) path planning technique. The proposed approach excels in terms of processing speed and path quality.","2473-2052","979-8-3503-8239-6","10.1109/IIT59782.2023.10366467","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10366467","robot;swarm;path planning;objective function;PSO","Technological innovation;Simulation;Swarm robotics;Linear programming;Probabilistic logic;Path planning;Planning","","5","","22","IEEE","25 Dec 2023","14-15 Nov. 2023","14-15 Nov. 2023","IEEE","IEEE Conferences"
"PSO-Enhanced Wildfire Risk Forecasting with Decentralized Multi-Robot Navigation via Voronol Path Planning","N. N. S; S. Loonkar; K. Desai","BTech Computer Science, PES University, Bengaluru, India; MPSTME, NMIMS University, Mumbai; SP Jain School of Global Mgmt, Mumbai",2025 Global Conference on Information Technology and Communication Networks (GITCON),"12 Feb 2026","2025","","","1","7","Natural disasters are rising in intensity and frequency, ultimately overwhelming traditional response systems. An emerging solution in swarm intelligence – inspired by nature – is gaining traction and is showing promise in solving disaster management problems efficiently. This paper integrates Particle Swarm Optimization (PSO) tuned XGBoost for predicting fire risk zones based on environmental attributes, along with Voronoi-based path planning for dynamic wildfire navigation and obstacle/fire-hazard avoidance. A* vs Voronoi based path-planning methods are compared based on path planning and step count. The model - which is trained on an agglomerated dataset – is evaluated with log-loss, F1 score and feature importance. Ultimately, a proof of concept adaptable to real-world wildfire scenarios is presented, with edge deployment as a major future scope.","","979-8-3315-3348-9","10.1109/GITCON65266.2025.11377467","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11377467","Swarm Intelligence;Particle Swarm Optimization (PSO);Voronoi Navigation;Multi-Robot Systems;Disaster Management;XGBoost;Fire Risk Forecasting","Wildfires;Navigation;Disasters;Disaster management;Path planning;Multi-robot systems;Communication networks;Particle swarm optimization;Forecasting;Information technology","","","","42","IEEE","12 Feb 2026","29-31 Aug. 2025","29-31 Aug. 2025","IEEE","IEEE Conferences"
"Investigation of Algorithms of Multi-Agent Robot Swarm Control in the Task of Finding the Shortest Path","A. D. Razorvin; O. V. Glukhov; A. I. Martynov; K. I. Sokolov; P. Y. Anuchin; V. A. Yushin","Radio Systems Department, National Research University “MPEI”, Moscow, Russian Federation; Radio Systems Department, National Research University “MPEI”, Moscow, Russian Federation; Radio Systems Department, National Research University “MPEI”, Moscow, Russian Federation; Radio Systems Department, National Research University “MPEI”, Moscow, Russian Federation; Radio Systems Department, National Research University “MPEI”, Moscow, Russian Federation; Radio Systems Department, National Research University “MPEI”, Moscow, Russian Federation","2025 7th International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE)","30 Apr 2025","2025","","","1","6","In this paper, algorithms for multi-agent robot heap control are examined to address the task of finding the shortest path for each robot-agent. Three algorithms are considered: a common-sense-based method (COM), the particle cluster optimization method (PSO), and the ant algorithm (ACO). A mathematical model of the swarm of robots and agents was developed, and a modeling environment was created for testing and comparing the algorithms in terms of execution time and path length. The most efficient algorithm was then implemented on physical robots. Experimental results confirm the simulation data and demonstrate the practical applicability of the proposed algorithms in real scenarios.","2831-7262","979-8-3315-3183-6","10.1109/REEPE63962.2025.10971106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10971106","multi-agent systems;swarm robotics;particle swarm optimization;ant colony optimization","Power engineering;Urban areas;Clustering algorithms;Swarm robotics;Robot sensing systems;Reliability engineering;Mathematical models;Trajectory;Particle swarm optimization;Testing","","","","13","IEEE","30 Apr 2025","8-10 April 2025","8-10 April 2025","IEEE","IEEE Conferences"
"Decentralized Motion Planning for Multi-Robot Navigation using Deep Reinforcement Learning","K. Sivanathan; B. K. Vinayagam; T. Samak; C. Samak","Autonomous Systems Lab, Mechatronics Engineering Dept., SRM Institute of Science and Technology, Tamil Nadu, India; Mechatronics Engineering Dept., SRM Institute of Science and Technology, Tamil Nadu, India; Autonomous Systems Lab, Mechatronics Engineering Dept., SRM Institute of Science and Technology, Tamil Nadu, India; Autonomous Systems Lab, Mechatronics Engineering Dept., SRM Institute of Science and Technology, Tamil Nadu, India",2020 3rd International Conference on Intelligent Sustainable Systems (ICISS),"18 Jan 2021","2020","","","709","716","This work presents a decentralized motion planning framework for addressing the task of multi-robot navigation using deep reinforcement learning. A custom simulator was developed in order to experimentally investigate the navigation problem of 4 cooperative non-holonomic robots sharing limited state information with each other in 3 different settings. The notion of decentralized motion planning with common and shared policy learning was adopted, which allowed robust training and testing of this approach in a stochastic environment since the agents were mutually independent and exhibited asynchronous motion behavior. The task was further aggravated by providing the agents with a sparse observation space and requiring them to generate continuous action commands so as to efficiently, yet safely navigate to their respective goal locations, while avoiding collisions with other dynamic peers and static obstacles at all times. The experimental results are reported in terms of quantitative measures and qualitative remarks for both training and deployment phases.","","978-1-7281-7089-3","10.1109/ICISS49785.2020.9316033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9316033","Multi-robot systems;motion planning;autonomous navigation;reinforcement learning","Robots;Planning;Robot kinematics;Navigation;Robot sensing systems;Reinforcement learning;Training","","16","","23","IEEE","18 Jan 2021","3-5 Dec. 2020","3-5 Dec. 2020","IEEE","IEEE Conferences"
"Training Robot Swarms for Adaptive Foraging in Environments with Obstacles","P. Biteng; T. U. Zaman; Q. Lu","Department of Computer Science, The University of Texas Rio Grande Valley, Edinburg, Texas, United States; Department of Computer Science, The University of Texas Rio Grande Valley, Edinburg, Texas, United States; Department of Computer Science, The University of Texas Rio Grande Valley, Edinburg, Texas, United States",2025 IEEE International Conference on Mechatronics and Automation (ICMA),"22 Aug 2025","2025","","","341","346","In this work, we train adaptive and efficient foraging strategies for robot swarms in a large, unmapped search space with multiple randomly distributed box obstacles using the penalty-reward based NeuroEvolution of Augmented Topologies (NEAT), P-NeatFA. This model enables efficient multi-robot foraging behavior and obstacle avoidance by rewarding effective actions and penalizing inefficient ones, thereby minimizing redundant exploration and outperforming traditional stochastic foraging algorithms. We optimize foraging strategies and search patterns in robot swarms by training models that maximize cumulative rewards in three types of resource distribution environments. The evaluation focuses on the number of resources collected within a fixed time frame. We compare the performance of the CPFA with the P-NeatFA approach. Experimental results show that our enhanced P-NeatFA strategy significantly outperforms the CPFA. Additionally, we observed differences in the search patterns: robots with the trained foraging behavior tend to travel in straighter, more efficient paths. Robots can avoid random obstacles more efficiently. Robots outperform the CPFA when the robot swarm size increases. Building on this foundation, we can see the potential to develop a distributed, scalable, and secure foraging robot swarm framework by integrating distributed learning.","2152-744X","979-8-3315-1426-6","10.1109/ICMA65362.2025.11120654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11120654","Foraging Robot Swarms;Multi-Robot Systems;Evolutionary Algorithms","Training;Computer aided instruction;Mechatronics;Distance learning;Stochastic processes;Evolutionary computation;Topology;Resource management;Multi-robot systems;Robots","","","","20","IEEE","22 Aug 2025","3-6 Aug. 2025","3-6 Aug. 2025","IEEE","IEEE Conferences"
"Research and Implementation of Multi-robot Path Planning Based on Genetic Algorithm","M. Fan; J. He; S. Ding; Y. Ding; M. Li; L. Jiang","School of Information Science and Technology, Zhejiang Sci-Tech University, Hangzhou, China; School of Information Science and Technology, Zhejiang Sci-Tech University, Hangzhou, China; School of Information Science and Technology, Zhejiang Sci-Tech University, Hangzhou, China; School of Information Science and Technology, Zhejiang Sci-Tech University, Hangzhou, China; College of Big Data and Internet, Shenzhen Technology University, Shenzhen, China; School of Information Science and Technology, Zhejiang Sci-Tech University, Hangzhou, China","2021 5th International Conference on Automation, Control and Robots (ICACR)","11 Nov 2021","2021","","","140","144","A genetic multi-robot path planning (GMPP) algorithm is proposed to rationalize the path planning of multi-robots in multi-obstacle scenarios, especially in large and complex environments with path length constraints and path safety feasibility. On the basis of ensuring path safety, the GMPP uses the shortest path length as the objective function. Secondly, the GMPP considers the task execution problem of multi-robot path planning to avoid collisions in a shared working environment. As a result, the GMPP introduces a central planner to make collision-free driving between multiple robots through two mechanisms: collision detection and collision elimination. Comparison experiments between the GMPP and other swarm optimization algorithms are carried out. The results show that the GMPP has better overall performance in terms of anti-collision safety and efficiency for multi-robot path planning.","","978-1-6654-3849-0","10.1109/ICACR53472.2021.9605194","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9605194","genetic algorithm;multi-robot path planning;central planner;collision detection;collision elimination","Linear programming;Genetics;Path planning;Safety;Collision avoidance;Task analysis;Particle swarm optimization","","9","","8","IEEE","11 Nov 2021","25-27 Sept. 2021","25-27 Sept. 2021","IEEE","IEEE Conferences"
"STR: Spatial-Temporal RetNet for Distributed Multi-Robot Navigation","L. Chen; Y. Wang; Z. Miao; M. Feng; Y. Wang; Y. Mo; W. He; H. Wang; D. Wang","School of Electrical and Information Engineering, Hunan University, Changsha, China; School of Electrical and Information Engineering, Hunan University, Changsha, China; School of Electrical and Information Engineering, Hunan University, Changsha, China; School of Computer Science and Technology, Xidian University, Xi’an, China; School of Electrical and Electrical Engineering, Nanyang Technological University, Jurong West, Singapore; School of Electrical and Information Engineering, Hunan University, Changsha, China; School of Intelligence Science and Technology, University of Science and Technology Beijing, Beijing, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China; School of Electrical and Electrical Engineering, Nanyang Technological University, Jurong West, Singapore",IEEE Transactions on Automation Science and Engineering,"4 Apr 2025","2025","22","","10429","10441","The core of multi-robot collision avoidance is to guide robots to avoid collisions with other robots and obstacles in a dynamic multi-robot environment, which has recently gained increasing interest among the main challenges of robotics. However, the current multi-robot navigation policy neural network exhibits weak position encoding capabilities for spatial environmental features in mapping environment states and robot actions, as well as an inability to recurrently infer information on dynamic environmental features in the temporal dimension, leading to insufficient safety and effectiveness in guiding robot motion. In this paper, we propose a novel spatial-temporal RetNet (STR) that encodes reciprocal collision avoidance states between robots in both spatial and temporal dimensions, aiming to enhance the safety and effectiveness of the policy neural network in guiding robots to accomplish specified tasks. The spatial state encoder module is developed based on parallel RetNet structure, which enhances the ability of the neural network in multi-robot navigation policies to extract reciprocal collision avoidance states between robots in spatial dimensions and overcomes the weak position encoding capability of advanced transformer-based multi-robot navigation policy neural networks. A temporal state encoder is designed by introducing the recurrent RetNet structure. This enhances the multi-robot navigation policy neural network’s ability to encode features in the temporal dimension of multi-robot movements and overcomes the transformer-based multi-robot navigation policy neural network’s inability to recurrently infer information in the time dimension. Simulation experiments were designed to demonstrate that the safety and effectiveness of our proposed method outperform the previous state-of-the-art approaches in guiding the robot to complete the task. Physical experiments illustrate that our policy can be effectively applied to real-world systems. Note to Practitioners—Multi-robot navigation has a wide range of real-world applications, such as multi-robot formation flying for search and rescue, autonomous warehouse operations, and robots navigating through human crowds. This paper introduces a novel Spatial-Temporal RetNet (STR) framework aimed at enhancing safety and effectiveness in multi-robot collision avoidance. STR addresses the limitations of existing methods by improving the neural network’s ability to extract reciprocal collision avoidance states in both spatial and temporal dimensions. The spatial state encoder strengthens the extraction of spatial features, while the temporal state encoder improves the handling of time-dependent information. Simulation and physical experiments demonstrate that STR enhances robot navigation in dynamic environments, making it suitable for real-world applications such as multi-robot coordination.","1558-3783","","10.1109/TASE.2024.3524000","National Key Research and Development Program of China(grant numbers:2022YFB3903804); China National Postdoctoral Program for Innovative Talents(grant numbers:BX20240113); Jiangxi Province 03 Special Project and 5g Project(grant numbers:20232ABC03A09); China Postdoctoral Science Foundation(grant numbers:2024M750877); National Natural Science Foundation of China(grant numbers:62422307,62133005,62103141,62373293); National Research Foundation, Singapore; NRF Medium Sized Centre Scheme (CARTIN), Agency for Science, Technology and Research (ASTAR); National Robotics Program(grant numbers:M22NBK0109); National Research Foundation, Singapore, and Maritime and Port Authority of Singapore; Maritime Transformation Program(grant numbers:SMI-2022-MTP-04); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10836132","Multi-agent systems;collision avoidance;reinforcement learning","Collision avoidance;Robots;Robot sensing systems;Navigation;Neural networks;Safety;Transformers;Multi-agent systems;Reinforcement learning","","13","","32","IEEE","9 Jan 2025","2025","","IEEE","IEEE Journals"
"Scalable Multi-Robot Cooperation for Multi-Goal Tasks Using Reinforcement Learning","T. An; J. Lee; M. Bjelonic; F. De Vincenti; M. Hutter","Robotic Systems Lab, Zürich, Switzerland; Neuromeka Company, Ltd., Seoul, South Korea; Swiss-Mile Robotics AG, Zürich, Switzerland; Computational Robotics Lab, ETH Zürich, Zurich, Switzerland; Robotic Systems Lab, Zürich, Switzerland",IEEE Robotics and Automation Letters,"9 Jan 2025","2025","10","2","1585","1592","Coordinated navigation of an arbitrary number of robots to an arbitrary number of goals is a big challenge in robotics, often hindered by scalability limitations of existing strategies. This letter introduces a decentralized multi-agent control system using neural network policies trained in simulation. By leveraging permutation invariant neural network architectures and model-free reinforcement learning, our policy enables robots to prioritize varying numbers of collaborating robots and goals in a zero-shot manner without being biased by ordering or limited by a fixed capacity. We validate the task performance and scalability of our policies through experiments in both simulation and real-world settings. Our approach achieves a 10.3% higher success rate in collaborative navigation tasks compared to a policy without a permutation invariant encoder. Additionally, it finds near-optimal solutions for multi-robot navigation problems while being two orders of magnitude faster than an optimization-based centralized controller. We deploy our multi-goal navigation policies on two wheeled-legged quadrupedal robots, which successfully complete a series of multi-goal navigation missions.","2377-3766","","10.1109/LRA.2024.3521183","Swiss National Science Foundation through the National Centre of Competence in Digital Fabrication (NCCR dfab) and the European Research Council(grant numbers:852044,101070596,101121321); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10811859","Legged locomotion;multi-robot systems;reinforcement learning","Robots;Navigation;Training;Neural networks;Collision avoidance;Mobile robots;Reinforcement learning;Quadrupedal robots;Vectors;Scalability","","5","","33","IEEE","20 Dec 2024","Feb. 2025","","IEEE","IEEE Journals"
