"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Soualhi T.; Crombez N.; Ruichek Y.; Lombard A.; Galland S.","Soualhi, Takieddine (59251447300); Crombez, Nathan (56543770100); Ruichek, Yassine (6602526754); Lombard, Alexandre (57191667790); Galland, Stéphane (23008496500)","59251447300; 56543770100; 6602526754; 57191667790; 23008496500","Learning Decentralized Multi-Robot PointGoal Navigation","2025","IEEE Robotics and Automation Letters","10","4","","4117","4124","2","10.1109/LRA.2025.3550798","https://www.scopus.com/pages/publications/105001209825?origin=resultslist","Integrating robots into real-world applications requires effective consideration of various agents, including other robots. Multi-agent reinforcement learning (MARL) is an established field that addresses multi-agent systems problems by leveraging reinforcement learning techniques. Despite its potential, the study of multi-robot systems, particularly in vision-based robotics, remains in its early stages. In this context, this article tackles the PointGoal navigation problem for multi-robot systems, extending the traditional single agent focus to a multi-agent context. To this end, we introduce a training environment designed to address vision-based multi-robot challenges. In addition, we propose a method based on the centralized training-decentralized execution paradigm within MARL to explore three PointGoal navigation scenarios: the SpecificGoal scenario, where each agent has a distinct target; the CommonGoal scenario, where all agents share the same target; and the Ad-hoCoop scenario, which requires agents to adapt to varying team sizes. Our results contribute to lay the groundwork for adopting MARL approaches to address vision-based tasks for multi-robot systems. © 2025 IEEE. All rights reserved,","Multi-robot systems; reinforcement learning; vision-based navigation","Chatbots; Contrastive Learning; Deep reinforcement learning; Industrial robots; Intelligent robots; Microrobots; Multipurpose robots; Nanorobots; Reinforcement learning; Robot applications; Robot learning; Robot vision; Decentralised; Multi-agent reinforcement learning; Multi-robot systems; Multiagent systems (MASs); Multirobots; Real-world; Reinforcement learning techniques; Reinforcement learnings; Vision based; Vision based navigation; Adversarial machine learning","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105001209825"
"Murata K.; Miyazaki K.; Matsunaga N.","Murata, Kazuhi (57444259100); Miyazaki, Kenta (57444066600); Matsunaga, Nobutomo (35612768000)","57444259100; 57444066600; 35612768000","Experiment of Cooperative Transportation using Multi-Robots by Multi-agent Deep Deterministic Policy Gradient","2022","ASCC 2022 - 2022 13th Asian Control Conference, Proceedings","","","","1120","1123","4","10.23919/ASCC56756.2022.9828156","https://www.scopus.com/pages/publications/85135634531?origin=resultslist","Cooperative transportations using many robots are able to support various tasks as compared with a transportation using a robot. However, cooperative transportations have been used infrequently in industrial applications due to the complexity of a formation change considering the avoidance of other robots and environments. In this paper, a control system to search robots' paths for a cooperative transportation using a multi-agent deep deterministic policy gradient (MADDPG) is proposed. MADDPG is a deep reinforcement learning method specialized for a multi-agent system to determine the effective path for making the formation. The feature of the system, each robot finds a trajectory and moves autonomously for a cooperative transportation. The effectiveness of MADDPG is evaluated by an experiment result of a formation change for a cooperative transportation using multi-robots.  © 2022 ACA.","Cooperative transportation; Formation change; MADDPG; Multi-agent system","Deep learning; Industrial robots; Learning systems; Multipurpose robots; Reinforcement learning; Cooperative transportation; Deterministics; Formation change; Multi agent; Multi-agent deep deterministic policy gradient; Multirobots; Policy gradient; Reinforcement learning method; Robot path; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-85135634531"
"Xu Z.; Xue K.; Wang P.; Kong D.","Xu, Zeyu (57241142000); Xue, Kai (59061785700); Wang, Ping (56158897300); Kong, Decheng (57932232000)","57241142000; 59061785700; 56158897300; 57932232000","Hierarchical Active Perception and Stability Control for Multi-Robot Collaborative Search in Unknown Environments","2026","Actuators","15","4","209","","","0","10.3390/act15040209","https://www.scopus.com/pages/publications/105037063460?origin=resultslist","Multi-robot systems (MRS) have attracted a lot of attention from researchers due to their widespread application in various environments. However, in multi-robot collaborative search tasks, two problems often arise: sparse rewards for capturing targets and control oscillations. To address these issues, this paper proposes the hierarchical active perception multi-agent deep deterministic policy gradient (HAP-MADDPG) framework. This framework guides robots to efficiently explore maps and discover targets through global utility planning based on global exploration rate and local information aggregation based on local exploration rate. A stability control mechanism, which includes hysteresis logic and reward decay, is introduced to suppress control oscillations. Experimental results show that the HAP-MADDPG framework achieves a success rate of 96.25% and an average search time of 216.3 steps. The path trajectories are smooth, demonstrating the effectiveness of the proposed approach. © 2026 by the authors.","cooperative systems; deep reinforcement learning; multi-robot systems; search problems","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105037063460"
"Mo T.; Tang B.","Mo, Tianshuo (57881097700); Tang, Biwei (57209959590)","57881097700; 57209959590","The Application of Particle Swarm Optimization Algorithm in Multi-robot Task Allocation Problem","2022","Proceedings of SPIE - The International Society for Optical Engineering","12248","","122481G","","","1","10.1117/12.2637509","https://www.scopus.com/pages/publications/85137567951?origin=resultslist","In contemporary society, with the increasing difficulty of tasks required by robots, multi-robot system has gradually become a research hotspot. As multi-robot task allocation is an important part of multi-robot system cooperation, it has also become a hot topic of research. In this paper, particle swarm optimization is used as the basic optimization tool to study the optimization solution of multi-robot task allocation problem. The multi-robot task allocation problem solved by the improved particle swarm optimization, the three main control parameters of the particle swarm optimization are updated by the linear parameter updating rule. Finally, the MATLAB simulation verification is given. The simulation results show that the algorithm has good adaptability in solving the multi-robot task allocation problem. © 2022 SPIE.","Multi-robot task allocation; Optimization algorithm; Particle swarm optimization","Industrial robots; MATLAB; Particle swarm optimization (PSO); Swarm intelligence; Allocation problems; Hot topics; Hotspots; Multi-robot systems; Multi-robot task allocation; Optimization algorithms; Particle swarm; Particle swarm optimization; Particle swarm optimization algorithm; Swarm optimization; Multipurpose robots","Conference paper","Final","","Scopus","2-s2.0-85137567951"
"Yu P.","Yu, Peihong (57257423100)","57257423100","Learning with Less Effort: Efficient Training and Generalization in (Multi-)Robot Systems","2025","Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS","","","","2994","2996","1","","https://www.scopus.com/pages/publications/105009851796?origin=resultslist","The growing demand for automation has sparked interest in multi-robot systems that can handle complex tasks through collaboration. While these systems offer advantages in speed, coverage, and capability compared to single robots, getting multiple robots to learn and coordinate effectively remains challenging - training robots requires extensive effort on data and computation, and learned policies often struggle to generalize beyond training conditions. My research addresses two fundamental challenges in multi-robot learning: reducing the training effort required and improving generalization to reduce policy retraining. First, we propose methods to make training more efficient - using human-drawn sketches rather than teleoperated demonstrations for manipulation tasks, and utilizing individual robot demonstrations instead of joint multi-robot ones for learning collaborative behaviors. Second, we develop techniques to help learned policies adapt to new scenarios without retraining - introducing frameworks that maintain coordination under different observation conditions and enable effective information sharing across varying initial states. My work aims to create more practical and adaptable multi-robot systems that can be efficiently trained and deployed across diverse real-world settings. © 2025 International Foundation for Autonomous Agents and Multiagent Systems (www.ifaamas.org).","Generalization; Learn from Demonstration; Manipulation; Multi-Agent Reinforcement Learning","Autonomous agents; Behavioral research; Industrial robots; Intelligent agents; Machine learning; Multi agent systems; Multipurpose robots; Robot learning; Complex task; Generalisation; Growing demand; Learn from demonstration; Learn+; Manipulation; Multi-agent reinforcement learning; Multi-robot systems; Multiple-robots; Single-robots; Demonstrations","Conference paper","Final","","Scopus","2-s2.0-105009851796"
"Lan X.; Qiao Y.; Lee B.","Lan, Xi (57222705068); Qiao, Yuansong (22036417400); Lee, Brian (55913808300)","57222705068; 22036417400; 55913808300","Coordination of a Multi Robot System for Pick and Place Using Reinforcement Learning","2022","Proceedings - 2022 2nd International Conference on Computers and Automation, CompAuto 2022","","","","87","92","7","10.1109/CompAuto55930.2022.00024","https://www.scopus.com/pages/publications/85148485685?origin=resultslist","Recent advances in deep reinforcement learning are enabling the creation and use of powerful agent systems in complex areas such as multi-robot coordination. These show great promise to help solve many of the difficult challenges of rapidly growing domains such as smart manufacturing. In this paper we describe our ongoing work on the use of single agent deep reinforcement learning to optimise coordination in a multi-robot pick and place (PnP) system. We describe the implementation of the DQN agent as well as a bespoke multi robot PnP simulator, implemented as an OpenAI Gym environment. We present our initial results and outline future work.  © 2022 IEEE.","deep reinforcement learning; multi-robot system; pick and place; simulator","Coordination reactions; Deep learning; Industrial robots; Intelligent robots; Learning systems; Reinforcement learning; Robot learning; Agent systems; Deep reinforcement learning; Growing Domains; Multi-robot coordination; Multi-robot systems; Multirobots; Pick and place; Reinforcement learnings; Single-agent; Smart manufacturing; Multipurpose robots","Conference paper","Final","","Scopus","2-s2.0-85148485685"
"Gai S.; Ma B.; Zheng L.; Su B.","Gai, Sibo (57211168961); Ma, Bei (60513047200); Zheng, Li (57195429360); Su, Bo (59081731600)","57211168961; 60513047200; 57195429360; 59081731600","A Survey of Communication Technology for MARL-based Robot Swarm; [多智能体强化学习框架下机器人集群通信技术综述]","2026","Binggong Xuebao/Acta Armamentarii","47","1","250603","","","1","10.12382/bgxb.2025.0603","https://www.scopus.com/pages/publications/105033053192?origin=resultslist","Multi-agent reinforcement learning (MARL) serves as a pivotal technology for addressing the control, decision-making and exploration of robot swarm. It represents a critical approach toward achieving large-scale unmanned automation and moving towards general artificial intelligence, with significant applications in military, transportation, and logistics, etc. Communication plays a central role in MARL and has emerged as a key research focus in recent years. The main research advancements in this field over the past few years are systematically reviewed, and the primary research directions concerning the communication for MARL-based robot swarms are categorized and summarized. It elaborates on the core research mechanisms with the MARL and the specialized subfields related to reinforcement learning, discusses the principal research objectives and technical approaches for various communication-related challenges, and identifies the current challenges in this field, the critical issues that need to be addressed urgently, and the prospective future developments. © 2026, China Ordnance Industry Corporation. All rights reserved.","communication; multi-agent reinforcement learning; robot swarm; robotics","Decision making; Fertilizers; Intelligent agents; Military applications; Military communications; Multi agent systems; Ordnance; Robot learning; Robots; Swarm intelligence; Communicationtechnology; Control decisions; Critical approach; Decisions makings; Large-scales; Military logistics; Military transportation; Multi-agent reinforcement learning; Research focus; Robot swarms; Reinforcement learning","Article","Final","","Scopus","2-s2.0-105033053192"
"Cicirelli F.; Greco E.; Guerrieri A.; Gentile A.F.; Spezzano G.; Vinci A.","Cicirelli, Franco (6507180270); Greco, Emilio (57219695326); Guerrieri, Antonio (35317576800); Gentile, Antonio Francesco (57219696051); Spezzano, Giandomenico (6701583980); Vinci, Andrea (7003799555)","6507180270; 57219695326; 35317576800; 57219696051; 6701583980; 7003799555","Blockchain-Empowered PSO for Scalable Swarm Robotics","2024","Communications in Computer and Information Science","1977 CCIS","","","214","227","0","10.1007/978-3-031-57430-6_17","https://www.scopus.com/pages/publications/85190376568?origin=resultslist","Swarm robotics is an innovative field that utilizes collective behavior principles to design systems where multiple robots coordinate through simple rules and interactions. It faces the challenges of decentralized governance, security, and scalability. Due to its decentralized optimization capabilities, Particle Swarm Optimization (PSO) has shown promise for controlling robot swarms. However, implementing PSO in a distributed manner still poses problems in achieving full scalability and fault-tolerant operation. Blockchain, a decentralized system that securely stores and distributes data, enables transparent and autonomous communication among robots. Integrating blockchain with PSO can potentially revolutionize swarm robotics by providing secure and decentralized coordination through Decentralized applications (Dapps). The work proposed here demonstrates the application of blockchain technology, utilizing ad-hoc techniques, to manage a swarm of robots in conjunction with particle swarm optimization for solving navigation paths. In particular, the emergent Tendermint platform is exploited as a lean blockchain infrastructure for supporting asynchronous swarm robotics applications by showing its main advantages compared to a more traditional blockchain platform. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Blockchain; Particle Swarm Optimization (PSO); swarm intelligence; swarm robotics; Tendermint","Decentralized systems; Machine design; Particle swarm optimization (PSO); Robots; Scalability; Swarm intelligence; Block-chain; Collective behaviour; Decentralised; Design systems; Multiple-robots; Particle swarm; Particle swarm optimization; Swarm optimization; Swarm robotics; Tendermint; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85190376568"
"Chandra R.; Sprague Z.; Biswas J.","Chandra, Rohan (57211498752); Sprague, Zayne (57423433100); Biswas, Joydeep (35774160500)","57211498752; 57423433100; 35774160500","SOCIALGYM 2.0: Simulator for Multi-Robot Learning and Navigation in Shared Human Spaces","2024","Proceedings of the AAAI Conference on Artificial Intelligence","38","21","","23778","23780","5","10.1609/aaai.v38i21.30562","https://www.scopus.com/pages/publications/85189631919?origin=resultslist","We present SOCIALGYM 2.0, a simulator for multi-agent navigation research. Our simulator enables navigation for multiple autonomous agents, replicating real-world dynamics in complex indoor environments, including doorways, hallways, intersections, and roundabouts. Unlike current simulators that concentrate on single robots in open spaces, SOCIALGYM 2.0 employs multi-agent reinforcement learning (MARL) to develop optimal navigation policies for multiple robots with diverse, dynamic constraints in complex environments. SOCIALGYM 2.0 also departs from the accepted software design standards by employing a configuration-over-convention paradigm providing the capability to benchmark different MARL algorithms, as well as customize observation and reward functions. Users can additionally create their own environments and evaluate various algorithms, based on both deep reinforcement learning as well as classical navigation, using a broad range of social navigation metrics. Copyright © 2024, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","","Autonomous agents; Deep learning; Fertilizers; Learning systems; Multi agent systems; Navigation; Reinforcement learning; Current simulators; Indoor environment; Multi-agent navigations; Multi-agent reinforcement learning; Multi-robot learning; Multi-robot navigation; Multiple-robots; Real-world; Single-robots; World dynamics; Software design","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189631919"
"Tong B.; Liu Q.; Dai C.","Tong, Baiming (56694053500); Liu, Qingbao (56127740600); Dai, Chaofan (35114790600)","56694053500; 56127740600; 35114790600","A decentralized hybrid method for goal assignment in multi-robot exploration","2020","Proceedings of 2020 IEEE International Conference on Information Technology, Big Data and Artificial Intelligence, ICIBA 2020","","","9276497","238","253","2","10.1109/ICIBA50161.2020.9276497","https://www.scopus.com/pages/publications/85099286374?origin=resultslist","Many multi-robot exploration (MRE) methods generate navigation goals so that the robots can observe unknown areas. The assignment of the goals to the robots greatly affects the exploration efficiency. This paper addresses the open-path multi-depot multiple traveling salesmen problem (OP-MmTSP) derived from multi-robot goal assignment (MGA) by presenting a decentralized method: the consensus-based decentralized discrete particle swarm optimization (CD-DPSO) algorithm. CDDPSO is a fully decentralized algorithm that assigns the computational tasks of a population-based metaheuristic algorithm to individual robots and enables them to collaborate. First, a discrete particle swarm optimization (DPSO) algorithm is proposed to resolve the OP-MmTSP. Second, the velocity update formula of DPSO is revised, inspired by the idea of the discrete time consensus algorithm that the particle swarms of all robots converge to the same solution via local communication. Finally, a variable neighborhood descent (VND) method consisting of two local search heuristics designed for min-max OP-MmTSP is adopted to improve the selected particles, which makes the CDDPSO a hybrid method that benefits from global search and local search. We applied two well-known auction-based task allocation algorithms to min-max OP-MmTSP and compared them to CDDPSO via numerical experiments. CDDPSO as a hybrid approach can usually find a better solution. © 2020 IEEE.","Consensus algorithm; Discrete particle swarm optimization; Multi-robot exploration; Open-path traveling salesman problem","Artificial intelligence; Big data; Heuristic algorithms; Industrial robots; Local search (optimization); Multipurpose robots; Particle swarm optimization (PSO); Decentralized algorithms; Discrete particle swarm optimization; Local search heuristics; Meta heuristic algorithm; Multi-robot exploration; Numerical experiments; Task allocation algorithm; Variable neighborhood descents; Heuristic methods","Conference paper","Final","","Scopus","2-s2.0-85099286374"
"Zhang H.; Xia Z.; Chen S.; Yin H.; Zhang F.","Zhang, Huibo (57217480391); Xia, Ziyi (60557280500); Chen, Shengkang (57219501583); Yin, Huan (57201385861); Zhang, Fumin (55495259900)","57217480391; 60557280500; 57219501583; 57201385861; 55495259900","Evolutionary Hybrid Optimization for Multi-Robot Task Allocation with LLM Guidance","2025","IEEE International Conference on Robotics and Biomimetics, ROBIO","","","","284","289","0","10.1109/ROBIO66223.2025.11376276","https://www.scopus.com/pages/publications/105034717813?origin=resultslist","Effective multi-robot task allocation (MRTA) remains challenging due to complex combinatorial solution spaces and domain-specific constraints. Traditional evolutionary algorithms typically employ generic genetic operations, which lack domain-specific insights, leading to limited efficiency and suboptimal results. This paper proposes a novel evolutionary optimization framework that explicitly leverages semantic reasoning from a Large Language Model (LLM) to guide evolutionary operators. Our method integrates semantic crossover and mutation-driven explicitly by the LLM's semantic capabilities-with a rigorous derivative-free local optimization approach (Speed-Up Slow-Down, SUSD). Experimental evaluations across two MRTA scenarios demonstrate that our semantic-evolutionary method achieves substantial makes pan improvements and accelerated convergence compared to classical evolutionary methods. These results explicitly highlight the benefits of incorporating semantic knowledge into evolutionary optimization, providing enhanced exploration and exploitation balance. Our framework demonstrates promising potential for broad applicability across various combinatorial optimization challenges beyond MRTA.  © 2025 IEEE.","","Air navigation; Electronic guidance systems; Genetic algorithms; Multipurpose robots; Semantics; Domain specific; Evolutionary method; Evolutionary optimizations; Genetic operations; Hybrid optimization; Language model; Multi-robot task allocation; Optimization framework; Semantic reasoning; Solution space; Combinatorial optimization","Conference paper","Final","","Scopus","2-s2.0-105034717813"
"Gharbi I.; Kuckling J.; Ramos D.G.; Birattari M.","Gharbi, Ilyes (58079176900); Kuckling, Jonas (57204498753); Ramos, David Garzon (57196947564); Birattari, Mauro (6602376230)","58079176900; 57204498753; 57196947564; 6602376230","Show me What you want: Inverse Reinforcement Learning to Automatically Design Robot Swarms by Demonstration","2023","Proceedings - IEEE International Conference on Robotics and Automation","2023-May","","","5063","5070","15","10.1109/ICRA48891.2023.10160947","https://www.scopus.com/pages/publications/85168670189?origin=resultslist","Automatic design is a promising approach to generating control software for robot swarms. So far, automatic design has relied on mission-specific objective functions to specify the desired collective behavior. In this paper, we explore the possibility to specify the desired collective behavior via demonstrations. We develop Demo-Cho, an automatic design method that combines inverse reinforcement learning with automatic modular design of control software for robot swarms. We show that, only on the basis of demonstrations and without the need to be provided with an explicit objective function, Demo-Cho successfully generated control software to perform four missions. We present results obtained in simulation and with physical robots. © 2023 IEEE.","","Inverse problems; Machine design; Reinforcement learning; Automatic design; Collective behaviour; Control software; Design method; Inverse reinforcement learning; Modular designs; Objective functions; Physical robots; Robot swarms; Demonstrations","Conference paper","Final","","Scopus","2-s2.0-85168670189"
"Wu X.; Yu W.; Lou P.; Lou H.; Zhai J.; Hu Z.","Wu, Xing (56440461700); Yu, Wenkang (57892491800); Lou, Peihuang (16022575500); Lou, Hangfei (57217650199); Zhai, Jingjing (57211282125); Hu, Zihan (57894187000)","56440461700; 57892491800; 16022575500; 57217650199; 57211282125; 57894187000","Coordinated Guidance Control for Multi-robot Cooperative Transportations of Large-sized Objects; [大型部件的多机器人 ? 作 ? ? ? 导引控制]","2022","Zhongguo Jixie Gongcheng/China Mechanical Engineering","33","13","","1586","1595","9","10.3969/j.issn.1004-132X.2022.13.009","https://www.scopus.com/pages/publications/85138130596?origin=resultslist","The multi-robot cooperative transportation approach had the noteworthy task flexibility and condition adaptability for the manipulation of heavy-duty, large-sized, small-rigidity irregular-shape objects. Firstly, 3 guidance control configurations, mono-camera dual-unit, dual-camera dual-unit, and dual-camera multi-kinematic-pair omni-directional, were investigated for cooperative transportations. The multiple-input and multiple-output motion control models were established. Then, 2 coordinated path tracking control methods were proposed by means of leader-follower strategy which was composed of homogeneous framework based on deviation-conversion prediction control for two robots with fuzzy adjustment of control parameters, and heterogeneous framework based on model prediction control for leader robot and backstepping control for follower robot with reinforcement learning of control parameters. Finally, the multi-robot cooperative transportation prototype systems were developed for the guidance control experiments. The experimental results verify the feasibility and effectiveness of the configurations, models, frameworks, and methods. © 2022 China Mechanical Engineering Magazine Office. All rights reserved.","automatic control; cooperative motion; coordinated control; multi-robot system; path tracking","Cameras; Industrial robots; Multipurpose robots; Remote control; Co-ordinated control; Cooperative motion; Cooperative transportation; Coordinated control; Dual cameras; Guidance control; Large-sized; Multi-robot systems; Multirobots; Path tracking; Reinforcement learning","Article","Final","","Scopus","2-s2.0-85138130596"
"Zhai Y.; Ding B.; Liu X.; Jia H.; Zhao Y.; Luo J.","Zhai, Yuanzhao (57219278748); Ding, Bo (35073733300); Liu, Xuan (35176179000); Jia, Hongda (57216458497); Zhao, Yong (57254969200); Luo, Jie (57304814700)","57219278748; 35073733300; 35176179000; 57216458497; 57254969200; 57304814700","Decentralized Multi-Robot Collision Avoidance in Complex Scenarios with Selective Communication","2021","IEEE Robotics and Automation Letters","6","4","9508156","8379","8386","33","10.1109/LRA.2021.3102636","https://www.scopus.com/pages/publications/85114712072?origin=resultslist","Deep reinforcement learning has been demonstrated to be an effective solution to the multi-robot collision avoidance problem. However, with existing methods, robots typically generate actions only based on local observations, sometimes augmented with global communication. Their performance deteriorates in limited bandwidth environments and complex scenarios with various obstacles and high robot density. We propose SelComm, a selective communication framework to generate cooperative and collision-free actions for robots in multi-robot navigation tasks. Specifically, we develop a decentralized message selector, enabling each robot to calculate relations with other robots using both agent-level information and sensor-level information, and select the most valuable messages to meet the bandwidth limitation. Then we introduce the attentional communication channel for efficient communication. Our experimental evaluations based on various scenarios demonstrate that SelComm learns more cooperative behaviors and outperforms state-of-the-art methods in limited bandwidth environments and complex scenarios. © 2016 IEEE.","autonomous vehicle navigation; Collision avoidance; multi-robot systems; reinforcement learning; selective communication","Agricultural robots; Bandwidth; Behavioral research; Collision avoidance; Deep learning; Industrial robots; Multipurpose robots; Reinforcement learning; Bandwidth limitation; Co-operative behaviors; Communication framework; Efficient communications; Experimental evaluation; Global communication; Multi-robot navigation; State-of-the-art methods; Cooperative communication","Article","Final","","Scopus","2-s2.0-85114712072"
"Mansfield A.; Manjanna S.; MacHaret D.G.; Ani Hsieh M.","Mansfield, Ariella (57222348638); Manjanna, Sandeep (55844121000); MacHaret, Douglas G. (33568044800); Ani Hsieh, M. (23094434600)","57222348638; 55844121000; 33568044800; 23094434600","Multi-robot Scheduling for Environmental Monitoring as a Team Orienteering Problem","2021","IEEE International Conference on Intelligent Robots and Systems","","","","6398","6404","25","10.1109/IROS51168.2021.9636854","https://www.scopus.com/pages/publications/85124356782?origin=resultslist","In this paper, we propose an evolutionary algorithm for solving the multi-robot orienteering problem where a team of cooperative robots aims to maximize the total information collected by visiting a subset of given nodes within a fixed budget on travel costs. Multi-robot orienteering problems are relevant to applications such as logistic delivery services, precision agriculture, and environmental sampling and monitoring. We consider the case where the information gain at each node is related to the service time each robot spends at the node. As such, we address a variant of the Orienteering Problem where the collected rewards are a function of the time a robot spends at a given location. We present a genetic algorithm solver to this cooperative Team Orienteering Problem with service-time dependent rewards. We evaluate the approach over a diverse set of node configurations and for different team sizes. Lastly, we evaluate the effects of team heterogeneity on overall task performance through numerical simulations.  © 2021 IEEE.","","Budget control; Industrial robots; Multipurpose robots; Sampling; Algorithm for solving; Cooperative robots; Environmental Monitoring; Fixed budget; Logistics delivery; Multirobots; Orienteering problem; Service time; Team orienteering problems; Travel costs; Genetic algorithms","Conference paper","Final","","Scopus","2-s2.0-85124356782"
"Nie Z.; Chen K.-C.; Jin Kim K.","Nie, Zixiang (57211170298); Chen, Kwang-Cheng (7410240104); Jin Kim, Kyeong (59541150100)","57211170298; 7410240104; 59541150100","Social-Learning Coordination of Collaborative Multi-Robot Systems Achieves Resilient Production in a Smart Factory","2025","IEEE Transactions on Automation Science and Engineering","22","","","6009","6023","10","10.1109/TASE.2024.3435443","https://www.scopus.com/pages/publications/86000322396?origin=resultslist","This paper presents a novel resilient production problem in a multi-robot system (MRS) driven smart factory that suffers diverse degradation of accuracy among heterogeneous robots. The inevitable degradation in production robots' accuracy undermines desirable productivity and efficiency. Although traditional maintenance and calibration strategies can be employed, they fail to support the continuity, flexibility and agility required in smart factories. Instead of pursuing accurate task execution relative to a consistent global reference, we formulate an innovative MRS coordination strategy, where a collaborative MRS autonomously pursues relative accuracy against accuracy degradation toward resilient operation. This new coordination strategy introduces challenges including adapting to time-dynamic production flows, difficulties in observing production robots' accuracy, and the absence of a comprehensive architecture of resilient MRS in a smart factory. We propose a computational approach with social learning and AI to overcome these challenges. A cyber-physical MRS model is proposed, in which the physical domain represents the time-dynamic production flows, while the cyber domain forms a partially connected wireless network to automate the collection of data regarding production flows, accuracy degradation, and peer robot measurements. Social learning based on such data is employed to collaboratively estimate accuracy and AI decision-making, thereby enabling adaptive coordinated task execution against accuracy degradation. We further investigated a group decision-based predictive maintenance against point failures caused by accuracy degradation. Computational experiments demonstrate that the proposed approach improves the effective rate and mean-time-to-fail performances against accuracy degradation and point failures in a scalable manner. Note to Practitioners - The practical problem motivating our work revolves around resilient production, which is affected by diverse accuracy degradations among heterogeneous robots. This issue is particularly relevant for implementing smart factories with multi-robot systems (MRS), including production and transportation robots. We propose a cyber-physical multi-robot system (CPMRS) to comprehend the dynamics of MRS-driven smart factories, aiming to facilitate productivity, efficiency, and resilience through MRS coordination, as opposed to accurate production task execution achieved by frequent maintenance and calibration, which sacrifices the flexibility and agility of smart factories. CPMRS allows the autonomous collection and exchange of information about production flows, accuracy degradations, and peer robot measurements with limited wireless communications. CPMRS further enables computational solutions with social learning and reinforcement learning for robots as well as group-decision-based predictive maintenance. It facilitates autonomous coordinated task execution and resilient production. Computational experiments demonstrate a 124 percent improvement in the mean time to failure (MTTF) and a 317.27 percent improvement with predictive maintenance. As in our proposal to general manufacturing, further research may be adapted to specific manufacturing scenarios. This research can benefit broader applications, such as smart logistics, warehouses, and even smart cities, where similar collective actions among multiple robots or agents are required. © 2004-2012 IEEE.","Industry 4.0; multi-robot coordination; Multi-robot system (MRS); multiagent system (MAS); point failure detection; resilient production; smart factory; social learning","Benchmarking; Cash registers; Collaborative robots; Costs; Critical path analysis; End effectors; Fault tree analysis; Industrial robots; Industry 4.0; Intelligent robots; Losses; Quality control; Robot learning; Room and pillar mining; Smart manufacturing; Social robots; Time-to-failure; Failure detection; Multi agent; Multi-robot coordination; Multi-robot system; Multi-robot systems; Multiagent system; Point failure; Point failure detection; Resilient production; Social learning; Multipurpose robots","Article","Final","","Scopus","2-s2.0-86000322396"
"Eddine I.","Eddine, Imad (60348650200)","60348650200","Adaptive Policy Switching for Efficient Multi-Robot Coordination Using Reinforcement Learning","2025","International Journal of Robotics and Control Systems","5","6","","3350","3375","0","10.31763/ijrcs.v5i6.2256","https://www.scopus.com/pages/publications/105028416980?origin=resultslist","Multi-robot systems operating in diverse environments require coordination strategies that balance efficiency and safety. This paper presents an adaptive framework combining heuristic planning and learning-based control to achieve that balance. The proposed system dynamically switches between a classical heuristic controller and a Q-learning-based policy according to real-time obstacle density, enabling context-aware adaptation to varying environmental complexity. The framework was evaluated in three representative scenarios of increasing difficulty, including a single robot with one task in an obstacle-free environment, a moderate case with three robots and five tasks among eight obstacles, and a complex case with five robots managing eight tasks amid fifteen obstacles. Performance was analyzed using several metrics such as task completion time, near-miss frequency, operational efficiency, and energy consumption. Results show that while the baseline policy performs best in sparse environments, the reinforcement-learning policy achieves faster completion in dense ones, though this comes at the cost of an increased frequency of near-misses due to its efficiency-driven behavior. The adaptive method effectively reconciles this trade-off, reducing near-misses by 25–40 % while maintaining competitive completion times and minimal energy usage. These findings demonstrate that adaptive policy selection provides robust, context-sensitive coordination across heterogeneous environments and can support missions in logistics, exploration, and disaster-response robotics, autonomously optimizing safety and performance according to real-time conditions. © 2025 The Authors.","Adaptive Policy Switching; Context-Aware Control; Multi-Robot Coordination; Reinforcement Learning; Task Allocation","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028416980"
